2025-06-27 17:21:39 | User - 880799145576 | Radius - bf:e4:87:9a:1d:05 | Authenticate - 2025-06-27 17:21:45 | Device - Realme
2025-06-27 17:21:48 | User - 301470134 | Radius - fe:9c:aa:7b:e4:29 | Authenticate - 2025-06-27 17:21:51 | Device - Xiaomi
2025-06-27 17:21:51 | User - 571827941 | Radius - 7e:a7:bd:ec:66:92 | Authenticate - 2025-06-27 17:21:59 | Device - Xiaomi
2025-06-27 17:22:03 | User - 886634742 | Radius - 48:ac:a7:ab:cc:b6 | Authenticate - 2025-06-27 17:22:06 | Device - Huawei
2025-06-27 17:22:08 | User - 4297455813 | Radius - ab:17:ab:da:98:00 | Authenticate - 2025-06-27 17:22:14 | Device - Motorola
2025-06-27 17:22:09 | User - 3293730477 | Radius - 62:cd:3e:7d:35:7a | Authenticate - 2025-06-27 17:22:16 | Device - Samsung
2025-06-27 17:22:09 | User - 34518324597 | Radius - 7b:31:4f:0d:e6:4c | Authenticate - 2025-06-27 17:22:18 | Device - Motorola
2025-06-27 17:22:09 | User - 6413774177 | Radius - e3:9b:fd:09:10:f6 | Authenticate - 2025-06-27 17:22:15 | Device - Huawei
2025-06-27 17:22:09 | User - 635928946 | Radius - 54:85:9c:1a:d2:71 | Authenticate - 2025-06-27 17:22:13 | Device - Xiaomi
2025-06-27 17:22:09 | User - 878617093556 | Radius - 32:3b:58:c9:4f:b9 | Authenticate - 2025-06-27 17:22:14 | Device - Xiaomi
2025-06-27 17:22:09 | User - 68778283790 | Radius - 3b:78:92:ee:ee:cb | Authenticate - 2025-06-27 17:22:10 | Device - Realme
2025-06-27 17:22:10 | User - 79470233361 | Radius - da:e0:62:ba:6a:10 | Authenticate - 2025-06-27 17:22:12 | Device - Xiaomi
2025-06-27 17:22:10 | User - 47111858331 | Radius - 35:6c:42:8e:45:49 | Authenticate - 2025-06-27 17:22:13 | Device - Apple
2025-06-27 17:22:11 | User - 13530439506 | Radius - 65:15:be:a1:8a:f9 | Authenticate - 2025-06-27 17:22:12 | Device - Samsung
2025-06-27 17:22:11 | User - 7940368636 | Radius - a2:07:04:c9:2b:1f | Authenticate - 2025-06-27 17:22:14 | Device - Realme
2025-06-27 17:22:11 | User - 559992775084 | Radius - 60:5f:f1:45:6c:6b | Authenticate - 2025-06-27 17:22:14 | Device - Apple
2025-06-27 17:22:11 | User - 607210218569 | Radius - 78:53:3a:99:91:7a | Authenticate - 2025-06-27 17:22:21 | Device - Xiaomi
2025-06-27 17:22:12 | User - 7630159483 | Radius - c7:1b:4f:37:86:c8 | Authenticate - 2025-06-27 17:22:17 | Device - Huawei
2025-06-27 17:22:12 | User - 33789739204 | Radius - 39:ed:53:6b:31:a3 | Authenticate - 2025-06-27 17:22:13 | Device - Huawei
2025-06-27 17:22:12 | User - 929175384233 | Radius - ef:31:31:77:ec:e9 | Authenticate - 2025-06-27 17:22:16 | Device - Motorola
2025-06-27 17:22:12 | User - 3728280427 | Radius - 43:38:b1:34:90:e6 | Authenticate - 2025-06-27 17:22:22 | Device - Motorola
2025-06-27 17:22:13 | User - 640458984401 | Radius - c0:a4:6b:54:b5:da | Authenticate - 2025-06-27 17:22:21 | Device - Huawei
2025-06-27 17:22:13 | User - 185801845 | Radius - 3c:e4:05:2a:ff:e5 | Authenticate - 2025-06-27 17:22:23 | Device - Apple
2025-06-27 17:22:13 | User - 188804649821 | Radius - 08:30:47:06:a5:6d | Authenticate - 2025-06-27 17:22:20 | Device - Motorola
2025-06-27 17:22:14 | User - 979250727 | Radius - 72:c5:a2:2f:93:dc | Authenticate - 2025-06-27 17:22:22 | Device - Realme
2025-06-27 17:22:14 | User - 7051283050 | Radius - 21:d4:74:e3:47:21 | Authenticate - 2025-06-27 17:22:22 | Device - Motorola
2025-06-27 17:22:14 | User - 963936730 | Radius - 40:07:31:9c:75:95 | Authenticate - 2025-06-27 17:22:23 | Device - Huawei
2025-06-27 17:22:14 | User - 612732558 | Radius - 07:59:fb:d6:ae:19 | Authenticate - 2025-06-27 17:22:16 | Device - Huawei
2025-06-27 17:22:15 | User - 43611893760 | Radius - cc:28:6f:76:8e:90 | Authenticate - 2025-06-27 17:22:22 | Device - Apple
2025-06-27 17:22:15 | User - 3004957298 | Radius - 48:f3:94:a4:a4:03 | Authenticate - 2025-06-27 17:22:17 | Device - Samsung
2025-06-27 17:22:15 | User - 975406532 | Radius - d0:17:76:71:88:ad | Authenticate - 2025-06-27 17:22:23 | Device - Samsung
